id;code;name;description;start_date;end_date;capacity
1;N5-2024-A;N5 Morning Class A;Beginner Japanese course for working professionals - morning schedule;2025-09-01T09:00:00;2025-12-15T11:30:00;25
2;N5-2024-B;N5 Evening Class B;Beginner Japanese course for students and office workers - evening schedule;2025-09-01T18:00:00;2025-12-15T20:30:00;30
3;N4-2024-A;N4 Weekend Class A;Elementary Japanese course for intermediate learners - weekend intensive;2025-09-15T14:00:00;2026-01-15T17:30:00;20
4;CONV-2024-A;Conversation Practice A;Japanese conversation practice group for all levels;2025-08-20T19:00:00;2025-11-20T20:30:00;15
5;BIZ-2024-A;Business Japanese A;Professional Japanese communication course for business settings;2025-09-10T17:00:00;2025-12-10T19:00:00;18
6;JLPT-N5-A;JLPT N5 Prep Course A;Intensive preparation course for JLPT N5 examination;2025-10-01T10:00:00;2025-12-01T12:00:00;35
7;KANJI-2024-A;Kanji Mastery A;Focused kanji learning course with writing practice;2025-08-25T15:00:00;2025-11-25T16:30:00;22
8;KIDS-2024-A;Kids Japanese A;Fun Japanese course for children aged 6-12;2025-09-05T16:00:00;2025-12-05T17:00:00;12
9;CULTURE-2024-A;Culture & Language A;Japanese language and culture immersion course;2025-09-20T13:00:00;2025-12-20T15:00:00;28
10;N3-2024-A;N3 Advanced Class A;Intermediate Japanese course for advanced learners;2025-10-15T11:00:00;2026-02-15T13:00:00;16
